order_id,airline_code,airline_name,region,account_tier,part_id,part_type,aircraft_model,capability_area,repair_center_id,repair_center_location,order_created_date,received_date,completed_date,status,priority,warranty_flag,quoted_repair_days,actual_repair_days,repair_cost_usd,sla_met
RO00001,AC,Air Canada,North America,Strategic,SNS210,Sensor Module,A320,Avionics,RC01,"Dallas, TX",2025-03-26,2025-03-30,2025-04-03,Completed,Standard,N,4,4.0,6869.5,Y
RO00002,DL,Delta Air Lines,North America,Core,CAB520,Cabin Interface,A321,Cabin Systems,RC01,"Dallas, TX",2025-07-23,2025-07-25,2025-07-29,Completed,Standard,N,4,4.0,7497.51,Y
RO00003,B6,JetBlue,North America,Strategic,ACT100,Actuator,A320,Flight Controls,RC05,"Cincinnati, OH",2025-02-09,2025-02-13,2025-02-22,Completed,Standard,N,6,9.0,12377.62,N
RO00004,DL,Delta Air Lines,North America,Core,PWR330,Power Control Unit,B737,Power Management,RC02,"Phoenix, AZ",2025-11-30,2025-12-04,2025-12-14,Completed,Standard,N,8,10.0,19433.87,Y
RO00005,B6,JetBlue,North America,Strategic,SNS210,Sensor Module,A320,Avionics,RC04,"Wichita, KS",2025-03-03,2025-03-06,2025-03-08,Completed,AOG,N,4,2.0,7692.82,Y
RO00006,LH,Lufthansa,Europe,Core,FLT810,Fly-by-Wire Computer,A350,Next-Gen Controls,RC04,"Wichita, KS",2025-09-17,2025-09-18,2025-09-28,Completed,Standard,N,12,10.0,30387.43,Y
RO00007,BA,British Airways,Europe,Growth,PWR330,Power Control Unit,B737,Power Management,RC01,"Dallas, TX",2025-02-26,2025-03-03,2025-03-12,Completed,Urgent,N,8,9.0,20998.97,Y
RO00008,QF,Qantas,Oceania,Strategic,BRK910,Brake Control Unit,B777,Active Controls,RC04,"Wichita, KS",2025-09-10,2025-09-12,2025-09-18,Completed,Urgent,Y,6,6.0,4061.33,Y
RO00009,DL,Delta Air Lines,North America,Core,ACT100,Actuator,A320,Flight Controls,RC01,"Dallas, TX",2025-08-16,2025-08-19,2025-08-25,Completed,Standard,N,6,6.0,12490.6,Y
RO00010,UA,United Airlines,North America,Growth,NAV111,Navigation Processor,E175,Avionics,RC03,"Miami, FL",2025-08-30,2025-08-31,2025-09-07,Completed,Urgent,N,5,7.0,12090.39,N
